"cell.type","term","parameter","setSize","enrichmentScore","NES","P.Value","p.adjust","qvalues","rank","leading_edge","core_enrichment","ont","adj.P.Val"
"CD8_EM","D1.v.baseline.covid.Male","INTERFERON_GAMMA_RESPONSE",133,0.811098274004615,2.9155161806886,0.000162258640272595,0.00332490266844753,0.00251274695591176,546,"tags=50%, list=7%, signal=47%","PSME2/STAT1/PSMB10/PSME1/UBE2L6/PSMB9/IRF1/GBP4/PSMB8/EPSTI1/PIM1/CD74/SAMHD1/APOL6/XAF1/BST2/IFI35/SP110/IRF2/B2M/PARP14/SAMD9L/CASP4/IRF9/IFI44L/LY6E/ISG15/DDX58/TRAFD1/OAS2/NMI/TNFSF10/TRIM21/NLRC5/NOD1/TAPBP/MX2/JAK2/PSMA3/HLA-DMA/STAT2/IFITM2/DDX60/PSMB2/PTPN6/CMPK2/ADAR/VAMP5/RBCK1/ITGB7/MTHFD2/GZMA/IRF7/PLSCR1/FAS/LGALS3BP/GCH1/HLA-B/PNP/MT2A/HLA-DQA1/CASP7/IFIT3/PFKP/IFI30/PARP12","Hallmark",0.00148107846693266
"CD8_EM","D1.v.baseline.covid.Male","ALLOGRAFT_REJECTION",117,0.604039104270328,2.13429273417984,0.000164663263625885,0.00332490266844753,0.00251274695591176,720,"tags=30%, list=10%, signal=27%","STAT1/PSMB10/GBP2/CD74/B2M/HLA-DRA/CD3D/IL2RG/TAPBP/FASLG/JAK2/CD40LG/HLA-DMA/CCL4/EIF3J/PTPN6/CD2/HLA-E/GZMA/CSK/EIF5A/IFNG/IRF7/FAS/IL27RA/HLA-DQA1/GCNT1/LTB/IL16/IRF8/PRF1/HLA-A/TNF/IL12RB1/HCLS1","Hallmark",0.00148107846693266
"CD8_EM","D1.v.baseline.covid.Male","MTORC1_SIGNALING",113,0.578755408896632,2.0320353362853,0.000166389351081531,0.00332490266844753,0.00251274695591176,955,"tags=32%, list=13%, signal=28%","CORO1A/FKBP2/LDLR/ENO1/HSPE1/STIP1/CALR/GLRX/PSMA3/ACTR3/PHGDH/SCD/PPIA/ABCF2/MTHFD2/GOT1/G6PD/HSPD1/TUBG1/SQLE/PRDX1/ELOVL6/SKAP2/PNP/SLC2A3/LDHA/CCT6A/IFI30/PPA1/HMGCR/XBP1/PSMG1/SLC1A4/DHCR7/HSP90B1/LTA4H","Hallmark",0.00148107846693266
"CD8_EM","D1.v.baseline.covid.Male","MYC_TARGETS_V1",96,0.601899723825826,2.06031283662514,0.000169033130493577,0.00332490266844753,0.00251274695591176,1471,"tags=41%, list=20%, signal=33%","RAN/PSMA7/EIF4E/HNRNPA2B1/SNRPG/HSPE1/HSP90AB1/EIF4A1/CCT3/C1QBP/PRDX4/PSMB2/EIF3J/CCT5/NDUFAB1/PPIA/CCT4/CCT7/HSPD1/SNRPB2/MYC/PHB/LDHA/YWHAE/POLD2/APEX1/PSMD8/PRDX3/YWHAQ/PCBP1/RPS5/SSB/NHP2/UBE2L3/RUVBL2/IFRD1/SRSF7/CCT2/SF3B3","Hallmark",0.00148107846693266
"CD8_EM","D1.v.baseline.covid.Male","INTERFERON_ALPHA_RESPONSE",71,0.855011396473527,2.78920418821859,0.000174216027874564,0.00332490266844753,0.00251274695591176,402,"tags=54%, list=5%, signal=51%","PSME2/PSME1/UBE2L6/PSMB9/GBP2/IRF1/GBP4/PARP9/IFITM1/PSMB8/EPSTI1/CD74/BST2/IFI35/SP110/IRF2/B2M/PARP14/SAMD9L/IRF9/IFI44L/LY6E/ISG15/TRAFD1/NMI/TRIM21/PSMA3/STAT2/IFITM2/DDX60/NUB1/CMPK2/ADAR/HLA-C/TMEM140/IRF7/PLSCR1/LGALS3BP","Hallmark",0.00148107846693266
"CD8_EM","D1.v.baseline.covid.Male","IL6_JAK_STAT3_SIGNALING",43,0.660004785805899,1.9730255501402,0.000181356546971346,0.00332490266844753,0.00251274695591176,721,"tags=26%, list=10%, signal=23%","STAT1/IRF1/PIM1/IRF9/IL2RG/STAT2/FAS/LTB/TNF/IL12RB1/TNFRSF12A","Hallmark",0.00148107846693266
"CD8_EM","D1.v.baseline.covid.Male","MHC-TLR7-TLR8 cluster (M146)",13,0.863865742039177,1.99878201869014,0.000198925800676348,0.00332490266844753,0.00251274695591176,707,"tags=77%, list=10%, signal=70%","CD74/HLA-F/HLA-DQB1/HLA-DRA/HLA-C/HLA-E/HLA-B/HLA-DQA1/HLA-A/HLA-DPA1","BTM",0.0135269544459916
"CD8_EM","D1.v.baseline.covid.Male","HEME_METABOLISM",78,-0.467320637754969,-1.66782914915177,0.000713266761768902,0.0104315263908702,0.00788347473534049,1346,"tags=31%, list=18%, signal=25%","SNCA/MFHAS1/ELL2/PICALM/GDE1/ATP6V0A1/ALAS2/ISCA1/CDR2/FBXO9/EPB42/SLC10A3/RIOK3/SLC30A1/KDM7A/ANK1/BNIP3L/HBB/TNRC6B/CA2/DCUN1D1/EZH1/RBM38/KLF3","Hallmark",0.00499286733238231
"CD8_EM","D1.v.baseline.covid.Male","INFLAMMATORY_RESPONSE",95,0.512374689161004,1.75134949716395,0.0010155721056195,0.0132024373730535,0.00997755051134946,635,"tags=23%, list=9%, signal=21%","IRF1/IFITM1/BST2/LY6E/LDLR/NMI/TNFSF10/RGS1/TAPBP/KLF6/CD48/CXCR6/IRF7/SLC4A4/MYC/SLAMF1/GPR132/EMP3/GCH1/CD70/GNAI3/SRI","Hallmark",0.00622037914691943
"CD8_EM","D1.v.baseline.covid.Male","T cell activation and signaling (M5.1)",18,0.743552795810444,1.8673814453161,0.00193050193050193,0.0225868725868726,0.0170697012802276,878,"tags=39%, list=12%, signal=34%","HLA-DRA/CD3D/IL2RG/GIMAP6/CD2/IL12RB1/LCK","BTM",0.0540003970617431
