pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.345100387008489	0.956633724949411	-0.278281776465703	-1.06537514166077	16139	44	PSMA4 DERL1 PSMC5 PSMD4 PSMD3 PSMD12 UBC DERL2 RNF5
"reactome_ABC-family proteins mediated transport"	0.212636903358553	0.895878813581972	-0.301767754290749	-1.16667749592177	9920	46	PSMA4 EIF2S2 DERL1 PSMC5 PSMD4 PSMD3 PSMD12 UBC DERL2 RNF5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.691099476439791	1	-0.223455376852134	-0.872860796412154	32339	48	PSMA4 PSMC5 PSMD4 PSMD3 UBE2E1 PSMD12 UBC ANAPC16 PSMA5 CUL1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.689446848622477	1	-0.226938323588065	-0.872863498332594	32181	45	PSMA4 PSMC5 PSMD4 PSMD3 UBE2E1 PSMD12 UBC
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.719484750412585	1	-0.221773197205952	-0.857407044655653	33568	46	PSMA4 PSMC5 PSMD4 PSMD3 UBE2E1 PSMD12 UBC
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.689446848622477	1	-0.226938323588065	-0.872863498332594	32181	45	PSMA4 PSMC5 PSMD4 PSMD3 UBE2E1 PSMD12 UBC
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.631775140323064	1	-0.234674582532508	-0.902619151496363	29489	45	PSMA4 PSMC5 PSMD4 PSMD3 UBE2E1 PSMD12 UBC
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.328943155378146	0.94808636076479	-0.285638309328704	-1.07665756456821	15409	41	PSMA4 PSMC5 PSMD4 PSMD3 PSMD12 UBC HSPA8 HSPB1 PSMA5 PSMB9
"reactome_AURKA Activation by TPX2"	0.224756011382952	0.904895493882985	0.380967564333162	1.19556939226759	11767	21	DCTN1 NDE1 SSNA1 TUBA4A YWHAG CSNK1D PCM1 DYNC1H1 TUBB4B TUBA1A YWHAE PRKACA PPP2R1A
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.719484750412585	1	-0.221773197205952	-0.857407044655653	33568	46	PSMA4 PSMC5 PSMD4 PSMD3 UBE2E1 PSMD12 UBC
"reactome_Activation of HOX genes during differentiation"	0.0160269768499223	0.344921001780775	0.480427379958582	1.62348681814981	845	28	EP300 KMT2C H2AFJ RARA POLR2L POLR2I POLR2E NCOA3 H3F3A POLR2B HIST1H2BK POLR2F MAFB JUN KMT2D POLR2K
"reactome_Activation of NF-kappaB in B cells"	0.472916933863452	1	-0.254289311524437	-0.98826965505758	22123	47	PSMA4 PSMC5 REL PSMD4 PSMD3 PSMD12 UBC
"reactome_Activation of NMDA receptors and postsynaptic events"	0.880592421619542	1	0.239476225348694	0.685677063841182	45781	15	NRGN MAPK1 CALM1 PRKAG1 CAMKK2 PRKACA PDPK1 NRAS
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.0160269768499223	0.344921001780775	0.480427379958582	1.62348681814981	845	28	EP300 KMT2C H2AFJ RARA POLR2L POLR2I POLR2E NCOA3 H3F3A POLR2B HIST1H2BK POLR2F MAFB JUN KMT2D POLR2K
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.953131019132817	1	-0.17399338585875	-0.685769751244617	44535	50	EIF2S2 EIF3E EIF4H EIF2S3 RPS4X EIF3G RPS29
"reactome_Adaptive Immune System"	0.209772674009843	0.895527636280696	-0.212145943425782	-1.09545621715127	8950	261	CLEC2B TRIM69 HLA-DPB1 PSMA4 FCGR3A UBE2E2 PIK3AP1 RNF114 CD300C HLA-DPA1 UBA1 TAPBP VAMP3 PSMC5 HLA-DQA1 ARIH2 REL UBE2L6 HLA-DQB1 PSMD4 TLR4 PSMD3 TRIP12 CD74 ITGB2 HCST EVL NCF4 TAP1 DCTN3 CLTC UBE2E1 PSMD12 HECTD1 CD4 LCP2 RNF138 CYBB UBC
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.975933530703849	1	0.181240063593005	0.561667025417815	51094	20	NDE1 PPP2R5C BUB3 XPO1 DYNC1H1 PPP2R1A SEC13 CLIP1 PPP1CC MAPRE1 RPS27 PPP2CA TAOK1 PPP2R5A DYNLL1 NUP107 CENPC PAFAH1B1 NUDC RANBP2
"reactome_Amplification of signal from the kinetochores"	0.975933530703849	1	0.181240063593005	0.561667025417815	51094	20	NDE1 PPP2R5C BUB3 XPO1 DYNC1H1 PPP2R1A SEC13 CLIP1 PPP1CC MAPRE1 RPS27 PPP2CA TAOK1 PPP2R5A DYNLL1 NUP107 CENPC PAFAH1B1 NUDC RANBP2
"reactome_Amyloid fiber formation"	0.917263507706411	1	0.211962733249947	0.665190897861848	48026	21	GSN GGA1 LYZ H3F3A HIST1H2BK
"reactome_Anchoring of the basal body to the plasma membrane"	0.321827719911807	0.94808636076479	0.333710049055298	1.09603885542318	16931	25	DCTN1 NDE1 SSNA1 TUBA4A YWHAG CSNK1D
